Team Number,Team Name,Location,2026
86,Team Resistance,"Jacksonville, Florida, USA",True
87,Diablo,"Mount Holly, New Jersey, USA",True
88,TJ²,"Bridgewater, Massachusetts, USA",True
89,,"PA, USA",False
90,,,False
92,RoboPats,"Lincolnshire, IL, USA",False
93,NEW Apple Corps,"Appleton, Wisconsin, USA",True
94,The TechnoJays,"Southfield, Michigan, USA",False
95,Grasshoppers,"White River Junction, Vermont, USA",True
96,JESTER,"Springfield, MA, USA",False
97,Bionic Beef,"Cambridge, Massachusetts, USA",True
98,,,False
100,The Wildhats,"Woodside, California, USA",True
101,Striker,"Chicago, Illinois, USA",False
102,The Gearheads,"Somerville, New Jersey, USA",True
103,Cybersonics,"Kintnersville, Pennsylvania, USA",True
104,Team Universal,"West Chester, PA, USA",False
105,,"CHARLTON, MA, USA",False
106,,"phila, PA, USA",False
107,Team R.O.B.O.T.I.C.S.,"Holland, Michigan, USA",True
108,SigmaC@T Robotics Team,"Fort Lauderdale, Florida, USA",True
109,,"Libertyville, IL, USA",False
111,WildStang,"Arlington Heights, Illinois, USA",True
112,Plus One,"Arlington Heights, Illinois, USA",True
114,Eaglestrike,"Los Altos, California, USA",True
115,MVRT,"Cupertino, California, USA",True
116,Epsilon Delta,"Herndon, Virginia, USA",True
117,Steel Dragons,"Pittsburgh, Pennsylvania, USA",True
118,Robonauts,"Houston, Texas, USA",True
120,Youth Tech Academy Red Dragons,"Cleveland, Ohio, USA",True
121,Rhode Warriors,"Middletown, Rhode Island, USA",False
122,NASA Knights,"Hampton, Virginia, USA",True
123,Team - Cosmos,"Hamtramck, Michigan, USA",True
124,,"Waterford, CT, USA",False
125,NUTRONs,"Revere, Massachusetts, USA",True
126,Gael Force,"Clinton, Massachusetts, USA",True
127,Bluetonium,"Friendswood, Texas, USA",True
128,The Botcats,"Columbus, Ohio, USA",False
130,Brain Busters,,False
131,CHAOS,"Manchester, New Hampshire, USA",True
132,Radioactive Mustangs,"Wilton Manors, FL, USA",False
133,B.E.R.T.,"Standish, Maine, USA",True
134,Team Discovery,"Pembroke, NH, USA",False
135,Penn Robotics Black Knights,"Mishawaka, Indiana, USA",True
136,Killer Kardinals,"Plainfield, New Jersey, USA",False
138,Entropy,"Amherst, New Hampshire, USA",True
140,Tigers,"Tyngsboro, MA, USA",False
141,WOBOT,"Holland, Michigan, USA",True
144,Operation Orange,"Hamilton, Ohio, USA",True
145,T-Rx,"Norwich, New York, USA",False
146,,,False
147,Deep Thunder,"St. Petersburg, FL, USA",False
148,Robowranglers,"Greenville, Texas, USA",True
151,Tough Techs,"Nashua, New Hampshire, USA",True
153,,"Bridgewater, NJ, USA",False
155,The TechnoNuts,"Berlin, Connecticut, USA",True
156,RPM - Robotics Plus Mayhem,"Fairview, Pennsylvania, USA",False
157,AZTECHS,"Marlborough, Massachusetts, USA",True
158,The Cobras,"Milford, OH, USA",False
159,Alpine Robotics,"Fort Collins, Colorado, USA",True
161,,,False
162,,,False
163,,,False
165,Das Goat,"Annapolis, MD, USA",False
166,Chop Shop,"Merrimack, New Hampshire, USA",True
167,Children of the Corn,"Iowa City, Iowa, USA",True
168,Flashbacks,"Miami, FL, USA",False
169,,,False
171,Cheese Curd Herd,"Platteville, Wisconsin, USA",True
172,Northern Force,"Falmouth/Gorham, Maine, USA",True
173,RAGE Robotics ⚙️,"Tolland, Connecticut, USA",True
174,Arctic Warriors,"Liverpool, New York, USA",False
175,Buzz Robotics,"Enfield, Connecticut, USA",True
176,Aces High,"Windsor Locks, Connecticut, USA",True
177,Bobcat Robotics,"South Windsor, Connecticut, USA",True
178,The 2nd Law Enforcers,"Farmington, Connecticut, USA",True
179,Children of the Swamp,"Riviera Beach, Florida, USA",True
180,S.P.A.M.,"Stuart, Florida, USA",True
181,Birds Of Prey,"Hartford, Connecticut, USA",True
182,ThunderQuest,"Dearborn, MI, USA",False
184,F.R.E.D.,"Dearborn, MI, USA",False
186,The Alliance,"Lake Buena Vista, FL, USA",False
188,Blizzard,"Toronto, Ontario, Canada",True
190,Gompei and the HERD,"Worcester, Massachusetts, USA",True
191,X-CATS,"Rochester, New York, USA",True
192,GRT,"Palo Alto, California, USA",True
193,MORT Beta,"Flanders, New Jersey, USA",True
195,CyberKnights,"Southington, Connecticut, USA",True
197,,,False
199,Deep Blue,"Belmont, California, USA",True
201,The FEDS,"Rochester, Michigan, USA",True
202,,,False
203,SOUPERBOTS,"Sicklerville, New Jersey, USA",True
204,Eastern Robotic Vikings,"Voorhees, New Jersey, USA",True
207,METALCRAFTERS,"Hawthorne, California, USA",False
209,DRRT,"North Dighton, MA, USA",False
211,MAK,"Rochester, NY, USA",False
212,Robotics And Creative Engineering,"Miami, FL, USA",False
213,The Dirty Birds,"Keene, New Hampshire, USA",False
215,,"El Paso, TX, USA",False
216,More RoboDawgs,"Grandville, Michigan, USA",False
217,ThunderChickens,"Sterling Heights, Michigan, USA",True
219,Team Impact,"Washington, New Jersey, USA",True
221,,"Houghton, MI, USA",False
222,Tigertrons,"Tunkhannock, Pennsylvania, USA",True
223,Xtreme Heat,"Wanaque, New Jersey, USA",True
224,The Tribe,"Piscataway, New Jersey, USA",False
225,TechFire,"Seven Valleys, Pennsylvania, USA",False
226,Hammerheads,"Troy, Michigan, USA",True
227,,,False
228,GUS ,"Meriden, Connecticut, USA",True
229,Division By Zero,"Potsdam, New York, USA",True
230,Gaelhawks,"Shelton, Connecticut, USA",True
231,High Voltage,"Houston, Texas, USA",True
232,,"Napa, CA, USA",False
233,The Pink Team,"Rockledge, Florida, USA",True
234,Cyber Blue,"Indianapolis, Indiana, USA",True
235,Motown Live Wires,"Warren, MI, USA",False
236,Techno-Ticks,"Old Lyme, Connecticut, USA",True
237,Black Magic Robotics,"Watertown, Connecticut, USA",True
238,Crusaders,"Manchester, New Hampshire, USA",True
239,,,False
240,TEMPEST,"Newport, Michigan, USA",True
241,Astros,"Derry, NH, USA",False
244,RoboDawgs 3D,"Grandville, Michigan, USA",True
245,Adambots,"Rochester Hills, Michigan, USA",True
246,Lobstah Bots,"Boston, Massachusetts, USA",True
247,Da Bears,"Berkley, Michigan, USA",True
248,,"Philadelphia, PA, USA",False
249,The Bulldogs,"Detroit, MI, USA",False
250,The Dynamos,"Colonie, New York, USA",True
252,,,False
253,Boba Bots,"Millbrae, California, USA",True
254,The Cheesy Poofs,"San Jose, California, USA",True
255,,"San Jose, CA, USA",False
256,Robo-Rams,"San Jose, California, USA",False
257,,,False
258,Sea Dawgs,"San Jose, CA, USA",False
259,LABRATs,"Bell, CA, USA",False
260,,"Los Angeles, CA, USA",False
261,,"Los Angeles, CA, USA",False
263,Aftershock,"Ronkonkoma, New York, USA",True
264,,"MI, USA",False
265,Moderate Heat,"Wanaque, New Jersey, USA",False
266,,,False
267,Demolition Squad,"Parkland, FL, USA",False
268,,"Philadelphia, PA, USA",False
269,CooneyTech,"Oconomowoc, Wisconsin, USA",False
270,Falcons,"Deer Park, NY, USA",False
271,Mechanical Marauders,"Bay Shore, New York, USA",True
272,Cyber Crusaders,"Lansdale, Pennsylvania, USA",True
274,Rhodes Maniacs,"Cleveland, OH, USA",False
276,Madcows!,"Youngstown, OH, USA",False
277,,,False
278,,"Orlando, FL, USA",False
279,Tech Fusion,"Maumee, Ohio, USA",False
280,TnT,"Taylor, Michigan, USA",False
281,The GreenVillains,"Greenville, South Carolina, USA",True
282,,"Winter Park, FL, USA",False
283,The Generals,"Greenville, South Carolina, USA",False
284,The Crew,"Dimock, PA, USA",False
287,Floyd Robotics,"Mastic Beach, New York, USA",True
288,The RoboDawgs,"Grandville, Michigan, USA",True
290,,,False
291,CIA - Creativity In Action,"Erie, Pennsylvania, USA",True
292,PantherTech,"Russiaville, Indiana, USA",True
293,SPIKE,"Pennington, New Jersey, USA",True
294,Beach Cities Robotics,"Redondo Beach, California, USA",True
295,Grizzly Robotics Team,"Granite Bay, California, USA",False
296,Northern Knights,"Montreal, Québec, Canada",True
297,Dragons 2,"Lake Orion, MI, USA",False
298,,"Pleasanton, CA, USA",False
299,Valkyrie Robotics,"Cupertino, California, USA",False
300,AAME,"Philadelphia, PA, USA",False
301,P.R.O.B.O.T.S.,"Dearborn, MI, USA",False
302,The Dragons,"Lake Orion, Michigan, USA",True
303,The T.E.S.T. Team,"Bridgewater, New Jersey, USA",True
304,GWHS Robo Griffins,"Philadelphia, Pennsylvania, USA",False
306,CRT,"Corry, Pennsylvania, USA",False
308,Monsters,"Walled Lake, Michigan, USA",True
309,RECHARGED,,False
311,Red Jammers,"Islip Terrace, NY, USA",False
312,HeatWave,"St. Petersburg, FL, USA",False
313,Demeter,"Westland, Michigan, USA",False
314,The Megatron Oracles,"Flint, Michigan, USA",True
315,,,False
316,LUNATECS ,"Carneys Point, New Jersey, USA",True
317,Mechanical Geek Squad,"Fort Worth, TX, USA",False
319,Big Bad Bob,"Alton, New Hampshire, USA",True
321,RoboLancers,"Philadelphia, Pennsylvania, USA",True
322,Team Knight Riders,"Flint, Michigan, USA",False
323,Lights Out,"Mountain Home, Arkansas, USA",False
324,Chips,"Friendswood, Texas, USA",True
325,Respawn Robotics,"Hamilton, Ohio, USA",True
326,Teamsuperpowermaticultramegasuperlativeawesometasticdelcioushowlingunieagles,"Romulus, MI, USA",False
328,Penn Robotics Golden Rooks,"Mishawaka, Indiana, USA",True
329,Mohawks,"Medford, New York, USA",True
330,The Beach Bots,"Hermosa Beach, California, USA",False
331,The Bulldogs,"New York, NY, USA",False
333,MEGALODONS,"Brooklyn, New York, USA",True
334,TechKnights,"Brooklyn, New York, USA",True
335,Skillz Tech Gear Botz,"Brooklyn, New York, USA",False
337,Hard Working Hard Hats,"Whitman, West Virginia, USA",False
338,Pandemic,"West Jefferson, NC, USA",False
339,Kilroy Robotics,"Stafford, Virginia, USA",True
340,G.R.R. (Greater Rochester Robotics),"Churchville, New York, USA",True
341,Miss Daisy,"Ambler, Pennsylvania, USA",True
342,Burning Magnetos,"North Charleston, South Carolina, USA",True
343,Metal-In-Motion,"Seneca, South Carolina, USA",True
345,NORSTAR,"Norfolk, VA, USA",False
346,RoboHawks,"Richmond, Virginia, USA",True
348,Norwell Robotics,"Norwell, Massachusetts, USA",True
349,,"Bloomfield Hills, MI, USA",False
350,Timberlane Robotics,"Plaistow, NH, USA",False
351,,"Green Cove Springs, FL, USA",False
352,The Green Machine,"Carle Place, New York, USA",False
353,POBots,"Plainview, New York, USA",True
354,G-House Pirates,"Brooklyn, New York, USA",True
356,Enigma,"Little Rock, AR, USA",False
357,Royal Assault,"Drexel Hill, PA, USA",False
358,Robotic Eagles,"Hauppauge, New York, USA",True
359,Hawaiian Kids,"Waialua, Hawaii, USA",True
360,The Revolution,"Tacoma, Washington, USA",True
361,,"Farmindale, NY, USA",False
362,The Muses,"Los Angeles, California, USA",False
364,Team Fusion 364,"Gulfport, Mississippi, USA",True
365,Miracle Workerz,"Wilmington, Delaware, USA",True
367,,"Seaford, DE, USA",False
368,Team Kika Mana,"Honolulu, Hawaii, USA",False
369,High Voltage Robotics,"Brooklyn, New York, USA",True
371,Cyber Warriors,"Staten Island, New York, USA",False
372,RoboKnights,"Mukilteo, WA, USA",False
373,Falcons,"Locust Valley, NY, USA",False
374,The IceBreakers,"Anchorage, AK, USA",False
375,Robotic Plague,"Staten Island, New York, USA",False
376,,"Newark, CA, USA",False
378,The Circuit Stompers,"Newfane, New York, USA",True
379,The RoboCats,"Girard, Ohio, USA",True
380,G-FORCE,"Bronx, NY, USA",False
381,Tornadoes,"Trenton, NJ, USA",False
382,Twisted Blizzard,"Columbus, OH, USA",False
383,Brazilian Machine,"Porto Alegre, Rio Grande do Sul, Brazil",False
384,SPARKY 384,"Henrico, Virginia, USA",False
386,Team Voltage,"Melbourne, Florida, USA",True
388,Maximum Oz,"Grundy, Virginia, USA",False
391,Titanium Rampage,"Grand Rapids, MI, USA",False
393,Full Metal Jackets (FMJ393),"Morristown, IN, USA",False
394,,"Windsor, CT, USA",False
395,2 Train Robotics,"Bronx, New York, USA",True
397,Knight Riders,"Flint, MI, USA",False
398,The Thundering Herd,"Ridgway, PA, USA",False
399,Eagle Robotics,"Lancaster, California, USA",True
400,The Blue Dragons,"Richmond, VA, USA",False
401,Copperhead Robotics,"Blacksburg, Virginia, USA",True
402,,"Woodbridge, VA, USA",False
404,⚒️   404 ART Not Found  ⚒️,"Petersburg, Virginia, USA",True
405,The Chameleons,"Richmond, VA, USA",False
406,Mumford Chargers,"Detroit, MI, USA",False
407,,"Detroit, MI, USA",False
408,The RoboTicks,"Pompano Beach, FL, USA",False
409,,"San Jose, CA, USA",False
410,Psychos,"Los Angeles, CA, USA",False
411,The Creeping Crawlers,"Rockhill, SC, USA",False
413,,,False
414,Smokie and the Bandits,"Richmond, VA, USA",False
415,RoBoCRAFT,"Williamston, SC, USA",False
416,Regs,"Richmond, VA, USA",False
417,Stangbot,"Mt. Sinai, NY, USA",False
418,Purple Haze,"Austin, Texas, USA",True
419,NDV Dragon Bots,"Boston, MA, USA",False
420,,,False
421,The Warriors,"Bronx, New York, USA",False
422,The Mech Tech Dragons,"Richmond, Virginia, USA",True
423,Simple Machines,"Elkins Park, Pennsylvania, USA",True
424,Rust Belt Robotics,"Buffalo, New York, USA",True
425,Spartans,"Melbourne, FL, USA",False
426,Zombie Apocalypse Counter Task Force,"Bronx, New York, USA",False
427,LANCE-A-LOT,"Philadelphia, Pennsylvania, USA",True
428,BoroBlasters,"Hillsborough, New Jersey, USA",True
429,Two Many Bobcats,"South Windsor, Connecticut, USA",True
430,MORT GAMMA,"Budd Lake, New Jersey, USA",True
431,PinkZilla,"Rockledge, Florida, USA",True
432,The Final Countdown,"Hamilton, Ohio, USA",True
433,Firebirds,"Flourtown, Pennsylvania, USA",True
434,Kraken,"Missouri City, TX, USA",False
435,Robodogs,"Raleigh, North Carolina, USA",True
436,Purple Rain,"Austin, Texas, USA",True
437,Talon Robotics,"Richardson, TX, USA",False
438,El Camino Creek Problem-Solving Programmers,"Houston, TX, USA",False
440,The Suspects,"Detroit, MI, USA",False
441,DEVIL DOGS,"Houston, Texas, USA",False
442,Redstone Robotics,"Huntsville, Alabama, USA",False
443,Freelance Robotics,"Denver, CO, USA",False
444,Philly's Extreme Team,"Philadelphia, PA, USA",False
446,Robodogs,"La Porte, TX, USA",False
447,Team Roboto,"Anderson, Indiana, USA",True
448,Crandroids,"Bloomfield Hills, MI, USA",False
449,The Blair Robot Project,"Silver Spring, Maryland, USA",True
451,Cat Attack Robotics,"Maumee, Ohio, USA",True
453,Rockem Sockem Robotics,"Clinton Township, Michigan, USA",True
456,Siege Robotics,"Vicksburg, Mississippi, USA",True
457,⚙️ Grease Monkeys ⚙️,"San Antonio, Texas, USA",True
459,Rampage Robotics,"Gainesville, FL, USA",False
460,Xavier Robotics,"Phoenix, AZ, USA",False
461,Westside Boiler Invasion,"West Lafayette, Indiana, USA",True
462,The Rambunctious Rams,"Jackson, MS, USA",False
463,LEGObots,"San Jose, CA, USA",False
464,,"Rio Rancho, NM, USA",False
465,GearHeads,"Canton, MI, USA",False
466,LEGOndary,"Philadelphia, PA, USA",False
467,Center of Mass,"Shrewsbury, Massachusetts, USA",True
468,Aftershock,"Flint, Michigan, USA",False
469,Las Guerrillas,"Pontiac, Michigan, USA",True
470,Grizzly Robotics,"Ypsilanti, Michigan, USA",False
471,Cyber Tigers,"Fenton, MI, USA",False
473,RoboDevils!!,"Corvallis, MT, USA",False
475,,"Detroit, MI, USA",False
476,Wildcats,"Ponca City, OK, USA",False
478,Critical Mass,"Rosemead, CA, USA",False
480,Hybrid,"Oakland, CA, USA",False
481,The Hitchhikers,"San Pablo, CA, USA",False
484,Roboforce,"Havertown, Pennsylvania, USA",True
486,Positronic Panthers,"Wallingford, Pennsylvania, USA",True
487,Spartans,"Erdenheim, PA, USA",False
488,Team XBOT,"Seattle, Washington, USA",True
491,Technotics,"Bridgeport, CT, USA",False
492,Titan Robotics Club,"Bellevue, Washington, USA",True
493,,"ALLIANCE, OH, USA",False
494,Martians,"Goodrich, Michigan, USA",True
495,,"Williamsburg, VA, USA",False
496,Royals,"Port Jefferson, New York, USA",True
497,Orange Crush,"Orange, VA, USA",False
498,The Cobra Commanders,"Glendale, Arizona, USA",True
499,Toltechs,"San Antonio, Texas, USA",False
500,Team 500/Team USA,"New London, CT, USA",False
501, The PowerKnights,"Manchester/Goffstown, New Hampshire, USA",True
502,Robo Rockers,"Rockville Centre, NY, USA",False
503,Frog Force,"Novi, Michigan, USA",True
504,,"Little Silver, NJ, USA",False
505,,"Yonkers, NY, USA",False
506,BroBots,"South Huntington, NY, USA",False
507,Solid Orange Academy of Robotics (SOAR),"Greenville, SC, USA",False
508,,"Avon, CT, USA",False
509,Red Storm,"Bedford, New Hampshire, USA",True
510,Hawaii Five-10,"Highland Springs, VA, USA",False
511,The Robodox,"Granada Hills, California, USA",False
512,,"Hull, MA, USA",False
513,Renegade Robotics,"Oklahoma City, OK, USA",False
514,Entropy,"Miller Place, New York, USA",True
515,TechnoKnights,"Detroit, MI, USA",False
516,StuyPlus,"New York, New York, USA",True
517,,"New Providence, NJ, USA",False
518,Blue Steel,"Grand Rapids, MI, USA",False
519,Robo Masters,"Detroit, MI, USA",False
520,,"Deer Park, TX, USA",False
521,"L33T CREW (""leet crew"")","Waterford, CT, USA",False
522,ROBO WIZARDS,"Staten Island, New York, USA",False
524,,"Bakersfield, CA, USA",False
525,Swartdogs,"Cedar Falls, Iowa, USA",True
526,Saxon Sparks,"Mc Lean, Virginia, USA",True
527,Red Dragons,"Massapequa, New York, USA",True
528,The Persuaders,"Lansdale, PA, USA",False
529,The Mansfield Hornets,"Mansfield, MA, USA",False
533,The PSIcotics,"Lindenhurst, New York, USA",True
535,G-Force,"Markle, IN, USA",False
536,,"San Francisco, CA, USA",False
537,Charger Robotics,"Sussex, Wisconsin, USA",True
538,Renaissance Robotics,"Athens, Alabama, USA",True
539,Titan Robotics,"Richmond, Virginia, USA",True
540,TALON 540 Godwin Robotics ,"Henrico, Virginia, USA",True
541,Surgeons of Steel,"Cleveland, OH, USA",False
545,ROBO-DAWGS,"Levittown, New York, USA",True
546,Technotics,"Woodbridge, CT, USA",False
547,Falcon Engineering And Robotics,"Fayetteville, Tennessee, USA",True
548,Robostangs,"Northville, Michigan, USA",True
549,DevilDawgs,"Leominster, MA, USA",False
550,NanKnights,"Washington, NJ, USA",False
551,,"Belvidere, NJ, USA",False
554,The Blue Grease Crew,"Ft. Thomas, Kentucky, USA",True
555,Montclair Robotics Team 555,"Montclair, New Jersey, USA",True
557,Flaming Cardinals,"Detroit, MI, USA",False
558,Elm City Robo Squad,"New Haven, Connecticut, USA",True
560,Camdenton 4-H LASER HWE #3,"Detroit, MI, USA",False
561,Camdenton 4-H LASER HWE #4,"Phila, PA, USA",False
562,SPARK - Students Pursuing Applied Robotics Knowledge,"Fitchburg, MA, USA",False
563,Thrashers,"Phila, PA, USA",False
564,Longwood RoboLions,"Middle Island, New York, USA",True
565,Camdenton 4-H LASER ORI #3,"Newark, DE, USA",False
566,Hot Wired 566,"Centereach, NY, USA",False
568,Nerds of the North,"Anchorage, Alaska, USA",False
569,Rambots 569,"Westbury, New York, USA",True
570,Team Phoenix,"Glen Cove, NY, USA",False
571,Paragon Robotics,"Windsor, Connecticut, USA",True
573,Mech Warriors,"Bloomfield Hills, Michigan, USA",True
574,,"Bronx, NY, USA",False
575,Frankfort First Lego League #1,"North Hills, CA, USA",False
576,Nerd Kings,"Los Angeles, CA, USA",False
577,Tiger Techs,"Tujunga, CA, USA",False
578,Fairport Robotics,"Fairport, New York, USA",True
579,,"Laveen, AZ, USA",False
580,Viking Robotics,"Studio City, California, USA",False
581,Blazing Bulldogs,"San Jose, California, USA",True
582,Viking Electros,"Jacksonville, FL, USA",False
583,,"Seattle, WA, USA",False
585,Cyber Penguins,"Tehachapi, California, USA",False
586,Robo Mustangs,"Alhambra, CA, USA",False
587,The Hedgehogs,"Hillsborough, North Carolina, USA",True
588,Jagtronx,"Jacksonville, FL, USA",False
589,Falkon Robotics,"La Crescenta, California, USA",True
590,Chahta Warriors,"Choctaw, Mississippi, USA",True
591,Power Surge,"Los Angeles, CA, USA",False
592,,"Sacramento, CA, USA",False
593,Joe Walker - B.R.O.S. (Brothers Reaching Over Success),"Houston, TX, USA",False
594,Joe Walker - Whiplash,"Flint, MI, USA",False
596,SciClones,"Hopkinton, MA, USA",False
597,The Wolverines,"Los Angeles, California, USA",True
598,Team Duct Tape,"Woodland Hills, CA, USA",False
599,The Robodox,"Granada Hills, California, USA",True
600,RamRod Robotics,"Lynchburg, VA, USA",False
601,BayBots,"Hampton Bays, New York, USA",True
602,MTC,"Leesburg, VA, USA",False
603,FBI - Fascinating Bot Intelligence,"Daytona Beach, FL, USA",False
604,Quixilver,"San Jose, California, USA",True
605,Astromechs,"Hayward, CA, USA",False
606,Cyber Eagles,"Los Angeles, California, USA",False
607,Mindstorm Overlords,"Piney Woods, MS, USA",False
608,,"Atlanta, GA, USA",False
609,VentureBOTS,"Santa Rosa, CA, USA",False
610,Crescent Coyotes,"Toronto, Ontario, Canada",True
611,Saxons,"Mc Lean, Virginia, USA",True
612,Chantilly Robotics,"Chantilly, Virginia, USA",True
613,NeoWarriors,"Somerset, New Jersey, USA",False
614,Night Hawks,"Alexandria, Virginia, USA",True
615,Knights,"Washington, District of Columbia, USA",False
616,Southampton Indians,"Courtland, VA, USA",False
617,Enginerds,"Highland Springs , Virginia, USA",True
618,E.A.R.T.H. Squad (Edison Achieving Real Technological Heights),"Philadelphia, PA, USA",False
619,Cavalier Robotics,"Charlottesville, Virginia, USA",True
620,Warbots,"Vienna, Virginia, USA",True
621,,"Falls Church, VA, USA",False
622,,"Manassas, VA, USA",False
623,Oakton Cougar Robotics,"Vienna, Virginia, USA",True
624,CRyptonite,"Katy, Texas, USA",True
625,,"Palmer, AK, USA",False
627,,"Falls Church, VA, USA",False
628,Northern RobArctic,"Fairbanks, AK, USA",False
630,,"McLean, VA, USA",False
632,J-Lo,"Union City, CA, USA",False
633,Falcon Robotics,"Tacoma, WA, USA",False
634,Rage,"Van Nuys, CA, USA",False
635,,"Buda, TX, USA",False
636,Rascals,"Waipahu, HI, USA",False
637,MR. T,"Montville Township, NJ, USA",False
638,Operation Oxidation,"Midlothian, VA, USA",False
639,Code Red Robotics,"Ithaca, New York, USA",True
640,Edison Robotics,"Jamaica, New York, USA",True
641,,"Sanborn, NY, USA",False
642,BRR(Big Red Robotics),"Parkersburg, WV, USA",False
643,,"Allentown, PA, USA",False
644,Team Mambo,"Pearl River, LA, USA",False
645,,"San Rafael, CA, USA",False
646,,"West Sayville, NY, USA",False
647,CYBERWOLVES,"Killeen, Texas, USA",False
648,QC ELITE  Flaming Squirrels,"Moline, Illinois, USA",True
649,MSET Fish,"Saratoga, California, USA",True
650,Hella's Angels,"Flora, IL, USA",False
651,Yo Bot,"Mar Lin, PA, USA",False
652,Bobcats,"Erie, PA, USA",False
653,NOSIDE,"San Antonio, Texas, USA",False
654,Mechateuthis Dux,"Tallahassee, FL, USA",False
655,,"Brooklyn, NY, USA",False
658,B.E.A.S.T. - Bringing Excitement and Science Together,"Wyoming, MI, USA",False
659,,"Houston, TX, USA",False
660,Dragons,"Round Rock, TX, USA",False
662,Rocky Mountain Robotics,"USAF Academy, Colorado, USA",True
663,Power Sharks,"Whitinsville, Massachusetts, USA",True
664,,"Harvard, IL, USA",False
665,Motor Monkeys,"Orlando, FL, USA",False
666,The TorMentors,"Hell, CT, USA",False
667,,"Los Angeles, CA, USA",False
668,The Apes of Wrath,"San Jose, California, USA",True
670,Homestead Robotics,"Cupertino, California, USA",True
671,,"San Francisco, CA, USA",False
674,,"Manchester, CA, USA",False
675,Tech High Robotics,"Rohnert Park, California, USA",False
676,,"El Paso, TX, USA",False
677,Murphy's Outlaws,"Columbus, Ohio, USA",True
679,,"New York, NY, USA",False
681,,"Chicago, IL, USA",False
684,,"Sylmar, CA, USA",False
685,,"Coconut Creek, FL, USA",False
686,Bovine Intervention,"Frederick, Maryland, USA",True
687,The Nerd Herd,"Carson, California, USA",True
688,,"Flint, MI, USA",False
690,,"Northampton, MA, USA",False
691,Project 691 Robotics,"Stevenson Ranch, California, USA",True
692,The Fembots,"Sacramento, California, USA",False
